State (Emission order)	-250000	-225000	-200000	-175000	-150000	-125000	-100000	-75000	-50000	-25000	0	25000	50000	75000	100000	125000	150000	175000	200000	225000	250000
1	0.23937	0.26695	0.25692	0.24492	0.24086	0.23484	0.23866	0.23664	0.22277	0.19505	0.20490	0.22274	0.23676	0.25270	0.25283	0.25886	0.24316	0.26702	0.27701	0.27714	0.27732
2	0.39039	0.38485	0.37494	0.36861	0.36767	0.37312	0.36503	0.36292	0.35518	0.35038	0.35216	0.35539	0.35266	0.34600	0.34592	0.34886	0.35872	0.36171	0.36695	0.37250	0.37786
3	0.52531	0.52387	0.51354	0.51445	0.51372	0.50945	0.50251	0.49835	0.49249	0.48956	0.49290	0.50863	0.50887	0.50632	0.51471	0.51777	0.51538	0.51875	0.51774	0.51990	0.51953
4	1.02831	1.01584	0.99728	0.96111	0.94901	0.90703	0.85479	0.82539	0.77623	0.72825	0.70890	0.83138	0.90051	0.95536	0.98230	1.00738	1.02725	1.04120	1.06594	1.09262	1.10925
5	0.76115	0.72106	0.67754	0.69021	0.67684	0.66409	0.65751	0.61888	0.59719	0.54365	0.53007	0.57674	0.60107	0.64112	0.66981	0.67574	0.69818	0.73433	0.75049	0.79973	0.81562
6	0.74511	0.78661	0.73599	0.70884	0.74693	0.76499	0.71785	0.69433	0.66411	0.60366	0.62367	0.73576	0.81326	0.73022	0.71555	0.77101	0.82323	0.81696	0.79213	0.79251	0.75615
7	1.18261	1.19163	1.19097	1.18315	1.17463	1.14555	1.11796	1.07803	1.01782	0.86411	0.77052	1.09227	1.19137	1.16748	1.14383	1.17290	1.15752	1.15454	1.12108	1.14514	1.16543
8	0.41486	0.40794	0.39389	0.37873	0.37182	0.36122	0.35134	0.34157	0.32619	0.31220	0.30624	0.34180	0.35630	0.37033	0.38061	0.37963	0.38279	0.37327	0.39061	0.39941	0.41166
9	0.91335	0.93141	0.92794	0.93628	0.92329	0.87425	0.89959	0.94139	0.90578	0.92361	0.98323	0.78416	0.75910	0.78612	0.81826	0.86728	0.88687	0.88068	0.86769	0.88585	0.91382
10	1.49279	1.47826	1.48797	1.55137	1.51907	1.58372	1.61496	1.70583	1.70702	1.79322	1.71259	1.27083	1.42356	1.50856	1.56194	1.56032	1.56324	1.51471	1.48251	1.43606	1.46755
11	1.82461	1.80237	1.88868	1.86455	1.92329	1.95906	2.04686	2.10265	2.32008	2.55730	2.62581	2.14728	2.02782	2.00320	1.92711	1.90193	1.84306	1.84966	1.84071	1.82299	1.71805
12	2.65530	2.71536	2.73901	2.76683	2.80068	2.81041	2.97049	2.96150	3.18573	3.43123	3.54075	3.42201	3.09784	2.92970	2.90607	2.83590	2.77762	2.75640	2.72629	2.70241	2.65712
13	1.30540	1.35041	1.32687	1.32918	1.27390	1.37121	1.30304	1.27548	1.23725	1.18499	1.05703	1.26586	1.28373	1.32398	1.33757	1.30011	1.27335	1.29529	1.35809	1.27050	1.25688
14	1.09154	1.06966	1.16884	1.20951	1.15766	1.16572	1.22629	1.23173	1.25698	1.25762	1.27894	1.09046	1.09575	1.14769	1.14259	1.09742	1.05942	1.09706	1.13026	1.13224	1.13584
15	1.96245	1.97187	2.00224	2.02285	2.09388	2.07816	2.05082	2.07494	2.00360	1.95217	2.09988	2.34454	2.20680	2.11503	2.05094	2.01283	2.06237	2.03367	2.00746	1.98208	1.98453
