State (Emission order)	-250000	-225000	-200000	-175000	-150000	-125000	-100000	-75000	-50000	-25000	0	25000	50000	75000	100000	125000	150000	175000	200000	225000	250000
1	0.24817	0.25855	0.25314	0.24429	0.25636	0.24057	0.23178	0.22993	0.22814	0.19668	0.18969	0.19322	0.18812	0.20566	0.23016	0.22327	0.22160	0.24089	0.26714	0.27599	0.26215
2	0.38055	0.37452	0.37044	0.36463	0.36172	0.36090	0.35966	0.35703	0.34817	0.34324	0.32769	0.33384	0.33698	0.33179	0.32968	0.32597	0.33826	0.34358	0.34749	0.35260	0.35911
3	0.50700	0.50467	0.49630	0.48868	0.49283	0.49011	0.48258	0.48004	0.47676	0.46154	0.42990	0.45675	0.46421	0.47693	0.47903	0.48596	0.48234	0.48549	0.49046	0.49849	0.49748
4	1.05950	1.03159	1.01344	0.99273	0.96475	0.95658	0.91397	0.88400	0.83247	0.76268	0.66315	0.72983	0.80650	0.86923	0.91724	0.96461	0.99083	1.02333	1.03916	1.07361	1.08665
5	0.72312	0.72933	0.69976	0.67589	0.66098	0.64920	0.63700	0.61220	0.58255	0.56172	0.46871	0.55129	0.56665	0.60703	0.64784	0.66160	0.68740	0.70571	0.74950	0.78995	0.79588
6	0.75145	0.73486	0.74619	0.72960	0.70704	0.73774	0.74932	0.74160	0.74879	0.68354	0.45515	0.64089	0.76662	0.74791	0.71576	0.71159	0.81081	0.79192	0.78916	0.80724	0.81506
7	1.18337	1.16317	1.17257	1.20049	1.21874	1.19791	1.20386	1.24222	1.29660	1.34350	0.61159	0.94074	1.01707	1.05242	1.03953	1.08450	1.11229	1.11976	1.10528	1.11103	1.11231
8	0.41343	0.40896	0.40241	0.39959	0.39836	0.38436	0.37831	0.38341	0.35829	0.33636	0.22673	0.29361	0.31685	0.33320	0.34719	0.35589	0.36163	0.36540	0.37045	0.37853	0.38666
9	0.91265	0.91487	0.88687	0.88711	0.85337	0.84327	0.81957	0.76910	0.68564	0.55977	0.26522	0.80237	0.98051	1.06379	1.05447	1.03857	1.03700	1.04067	1.03375	0.98199	0.98250
10	1.53190	1.49598	1.52679	1.54076	1.49636	1.54414	1.51240	1.54345	1.46204	1.42753	0.38586	2.46213	2.02184	1.80811	1.78005	1.66971	1.60968	1.55209	1.49423	1.46843	1.50054
11	1.78279	1.84676	1.87587	1.85362	1.90822	1.88212	1.89247	1.95168	2.01871	1.97637	4.68784	2.09866	2.04589	1.99994	1.89097	1.96027	1.88440	1.88565	1.85326	1.82269	1.79026
12	2.77002	2.76958	2.78253	2.85530	2.86549	2.82662	3.00694	3.06840	3.15485	3.42187	4.77586	3.00863	3.00982	2.93917	2.93599	2.88378	2.87817	2.81931	2.79111	2.78637	2.69957
13	1.29698	1.31925	1.31702	1.30032	1.28751	1.33322	1.36228	1.38576	1.38609	1.47425	1.80982	0.98875	1.06235	1.16079	1.23902	1.25691	1.23993	1.26390	1.34138	1.24730	1.27683
14	1.10675	1.08360	1.14079	1.14782	1.15847	1.21208	1.16520	1.13954	1.14178	1.12354	1.60163	1.25927	1.15329	1.14645	1.17084	1.18888	1.12261	1.14572	1.11326	1.13894	1.14709
15	1.93708	1.99693	2.00974	2.03912	2.09094	2.12544	2.14143	2.06482	2.18480	2.29890	1.14705	2.26795	2.27293	2.21680	2.17889	2.07618	2.09007	2.05200	2.03986	2.04478	2.02561
