State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	1.75184	0.06888	0.14162	0.38439	0.20493	0.18970	0.22103
2	13.56444	0.23526	0.28180	0.71212	0.35221	0.32770	0.34743
3	14.48111	0.51722	0.36961	0.35537	0.49296	0.42991	0.43870
4	9.81061	0.71066	0.65771	0.91239	0.70900	0.66317	0.73030
5	6.10117	0.23918	0.54296	1.09371	0.53014	0.46872	0.52858
6	2.06977	0.23269	0.53974	0.91911	0.62376	0.45516	0.50470
7	8.70351	0.28451	0.69458	0.78976	0.77063	0.61161	0.69184
8	9.26432	0.07143	0.28928	0.63772	0.30628	0.22674	0.25851
9	4.68986	0.09803	1.35919	1.89654	0.98336	0.26523	0.31397
10	6.24965	0.29702	2.26017	2.18820	1.71282	0.38588	0.46025
11	6.14636	4.58327	2.72018	1.82404	2.62449	4.68749	4.17636
12	4.12824	5.97078	3.14668	1.27587	3.54040	4.77600	4.54893
13	4.55833	1.97089	1.07141	0.88165	1.05717	1.80987	1.83671
14	2.42885	1.26376	1.33231	1.38679	1.27911	1.60168	1.54052
15	6.05195	1.64552	2.08865	1.28509	2.10017	1.14708	1.28640
Base	100	0.7075453452	2.4568016978	41.8482745810	0.0009350343	0.0010586878	3.4286417004
