State (Emission order)	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K27ac	H3K79me2	H3K36me3	H4K20me1	H3K9me2	H2AFZ	H3K27me3	H3K9me3
1	0.017485988562410033	0.008710020194931785	0.0029169959040041744	2.649566922603369E-202	0.00458398589130159	0.0	0.007613674374226567	0.014459190757544226	0.5076372926786938	0.52820207899154	0.018758293226633103	0.975228222190095
2	1.0750229902089783E-4	5.961044555500404E-4	0.016430459082124226	2.1141092479862738E-176	1.3655857631431458E-4	3.247943406193211E-4	0.027292549612783806	7.02565014063078E-4	0.003145578413491283	6.187374074046302E-4	0.03236321135891363	0.9905238612884804
3	8.163895743593283E-4	0.002324672188425041	0.0023648428379116483	5.231635507578867E-203	1.5701628423264036E-4	6.900078467057131E-4	1.8358021451946637E-5	1.2244147163396569E-202	3.431640819719207E-4	0.002027066971168015	0.006239595575244874	0.01617619096965073
4	0.036944730431757486	0.015404462141935648	0.0023648300595785344	9.192994965430789E-294	3.57514160229008E-4	1.491575262771823E-217	1.4745280838264333E-4	0.04552808067779482	0.132895823494099	0.03794694244274518	0.9434895557317444	0.09600430750235492
5	0.022279262732126593	0.008617496395509	0.0019393462431106176	2.4022336494113187E-144	2.0545566647617625E-4	7.15245571762467E-4	4.4331487009549066E-4	0.6842403656637608	0.845733891884376	0.3441128699458932	0.987458068800067	0.04492591990880472
6	0.3638322508423845	0.048999844272878186	0.03241285101085731	0.20325556403224523	0.05168566827764183	0.027940863348877527	0.6046060762603653	0.8240924101306891	0.9896389980493945	0.8618476914242602	0.6787890009656035	0.7575454366853867
7	0.1660238040295378	0.008308018415218558	4.8312006076170355E-79	1.0178161607993654E-56	2.99053824687345E-4	1.0442778732165904E-135	0.005228211012563191	0.09658441197027388	0.7804564563616648	0.7777418068028995	0.3930271076057365	0.06472348285421214
8	0.0558823507910592	0.008748646723881901	3.529514019153352E-4	2.3832578128126843E-284	0.0012676095746401654	1.203648526119713E-211	0.02262307784596295	0.33382225064034	0.9764352749227971	0.9689331304791133	0.014426193402355852	0.08583929177458431
9	0.09942463184360986	0.012126511882513638	0.04605614705153049	2.3072548825341162E-4	8.61283899363361E-4	0.1934816233196216	0.5772654505400413	0.8236911691639738	0.8016669071971114	0.046358160463973945	0.0318195023352368	0.1711920982031869
10	0.39282074750423046	0.05995447093824348	9.02026624700319E-30	0.09419154000334902	0.4377109354658217	0.8705311891473925	0.9441427958625234	0.982083017863476	0.48526374435066083	0.011346153637400252	0.0035731450711964144	0.06407983874112097
11	0.9538490148444105	1.0	0.8484448814232923	0.9988514650129255	0.9581030027068459	0.9710169298566969	0.8755849022654274	0.8978221662575292	0.42078033686931193	0.33248011351656176	0.032697775194323195	0.03622085893377602
12	0.8372551152428293	0.9920097711527619	0.8265686513418246	0.9255322935444229	0.7543196913601863	0.3667660052234583	0.31699936971802894	0.019275863292966374	0.014922447651353962	0.3102515472023072	0.056947901996116844	0.04988488244291969
13	0.9204675381732784	0.9842574798252706	0.43662546437307925	0.4704526290547239	0.40493210021124243	0.02503459946767316	0.04965772825003756	0.17377679556407613	0.7026951662223977	0.9417297468949337	0.34337779155228415	0.06812028649065313
14	0.9817048072314755	0.8223463041804983	0.6849697237422508	0.9515055225134561	0.9307368258758862	0.5746539907470105	0.9362443480425474	0.7832335490034266	0.9875381489109457	0.8929619284430651	0.3562708838184602	0.6249849176292628
15	0.25285416626061025	0.10984637614635383	0.016125943733117282	0.002215598156026067	0.025204651520190843	0.06194819592307551	0.213330087111915	0.027442105656958784	0.01476335551324179	0.11564492894553705	0.07761265790193618	0.05285541408084087
