15	12	E	-364828.3371283338	149
probinit	1	9.057062925099485E-221
probinit	2	0.13719332846557136
probinit	3	0.7658126074148812
probinit	4	9.894860500954722E-62
probinit	5	0.0
probinit	6	0.0
probinit	7	3.7752677117428936E-249
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	8.68850226730777E-58
probinit	12	0.009905288053718923
probinit	13	0.0
probinit	14	0.04056784654177436
probinit	15	0.046520929524054205
transitionprobs	1	1	0.9569412180319001
transitionprobs	1	2	0.010396433024593673
transitionprobs	1	3	0.0011185417204263265
transitionprobs	1	4	1.7667581483621732E-4
transitionprobs	1	5	0.0013809351047483157
transitionprobs	1	6	0.00734552429618591
transitionprobs	1	7	0.008198889432223154
transitionprobs	1	8	0.0034132231718316205
transitionprobs	1	9	0.0012355827440754402
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0018133241655131378
transitionprobs	1	12	0.0010131431200791487
transitionprobs	1	13	0.001106896793700878
transitionprobs	1	14	0.0
transitionprobs	1	15	0.005859612579886156
transitionprobs	2	1	0.001648660419872198
transitionprobs	2	2	0.971859740552098
transitionprobs	2	3	0.009097800165404095
transitionprobs	2	4	0.011420863531103354
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0021387101148461606
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0026065274728054063
transitionprobs	2	13	8.577446902959741E-5
transitionprobs	2	14	4.3217010180217385E-4
transitionprobs	2	15	7.097531730391769E-4
transitionprobs	3	1	2.3291949871837646E-4
transitionprobs	3	2	0.00939805660978477
transitionprobs	3	3	0.9634739794486417
transitionprobs	3	4	0.005245509627288838
transitionprobs	3	5	3.310414252975723E-4
transitionprobs	3	6	3.436096894227832E-5
transitionprobs	3	7	9.003819158158179E-4
transitionprobs	3	8	8.095775382136631E-4
transitionprobs	3	9	5.780054293427617E-4
transitionprobs	3	10	2.1290751275447096E-4
transitionprobs	3	11	3.155214424583254E-4
transitionprobs	3	12	0.008470074379289315
transitionprobs	3	13	2.8262036006907235E-4
transitionprobs	3	14	3.6419530123606213E-4
transitionprobs	3	15	0.00935084854214681
transitionprobs	4	1	4.8767811645587827E-4
transitionprobs	4	2	0.015986622058900123
