State (Emission order)	-250000	-225000	-200000	-175000	-150000	-125000	-100000	-75000	-50000	-25000	0	25000	50000	75000	100000	125000	150000	175000	200000	225000	250000
1	1.22163	1.19014	1.17302	1.15712	1.12597	1.08667	1.04316	0.98223	0.93883	0.88087	0.83762	0.89547	0.99061	1.03937	1.07465	1.12041	1.18172	1.19051	1.22902	1.24821	1.23350
2	0.82401	0.79764	0.79099	0.75744	0.72092	0.70160	0.66197	0.61566	0.59687	0.58369	0.57589	0.60768	0.66039	0.70373	0.74494	0.76186	0.79077	0.81141	0.82829	0.83078	0.85369
3	1.18407	1.19398	1.19690	1.19961	1.20980	1.21186	1.20356	1.18472	1.13703	1.03705	0.97354	1.07320	1.11895	1.15064	1.15726	1.16684	1.15800	1.15629	1.16389	1.16800	1.16855
4	0.51454	0.50951	0.50131	0.49653	0.48788	0.47406	0.46769	0.45469	0.44648	0.43758	0.42923	0.43538	0.44641	0.44761	0.45544	0.46458	0.47396	0.48587	0.49310	0.50003	0.50515
5	1.92294	1.94443	1.95317	1.97571	2.02815	2.03793	2.05976	2.05123	2.01629	1.95085	1.98032	2.14959	2.10245	2.07613	2.04423	2.06327	2.02792	2.00899	1.99978	1.97428	1.98246
6	0.47496	0.46540	0.44478	0.43528	0.41313	0.41732	0.41976	0.39934	0.40012	0.39320	0.39149	0.42210	0.43840	0.46315	0.48448	0.49824	0.50694	0.51397	0.52261	0.50501	0.50278
7	0.79604	0.81225	0.77869	0.73699	0.74788	0.75881	0.73380	0.78331	0.67011	0.60648	0.55959	0.62590	0.66205	0.73127	0.81149	0.78971	0.83976	0.84567	0.85144	0.87674	0.85239
8	0.58925	0.59699	0.59993	0.60296	0.60195	0.59920	0.59373	0.59510	0.59204	0.58444	0.58708	0.59373	0.59459	0.59362	0.59406	0.59162	0.59038	0.58739	0.58726	0.59318	0.59385
9	0.41462	0.40996	0.40305	0.39776	0.39567	0.39048	0.38436	0.37760	0.37464	0.37228	0.37472	0.37213	0.37721	0.37913	0.37609	0.37959	0.37997	0.38394	0.39075	0.39721	0.40462
10	1.18991	1.19660	1.23211	1.23706	1.24222	1.24746	1.21828	1.24694	1.14027	0.93607	0.92702	1.03729	1.10634	1.14103	1.14672	1.13271	1.19282	1.22410	1.17923	1.21599	1.19141
11	2.46200	2.45049	2.40073	2.47365	2.44545	2.44396	2.46758	2.58935	2.69610	2.68595	2.63631	2.76834	2.68426	2.56985	2.60048	2.45374	2.45823	2.50440	2.44617	2.41846	2.34479
12	1.98059	2.07031	2.13193	2.17987	2.13067	2.17215	2.30386	2.50527	2.94319	2.69872	2.39955	2.34448	2.47778	2.47168	2.45139	2.41750	2.18851	2.14069	2.19708	2.08650	2.24842
13	1.90502	1.81990	1.92532	1.94851	1.88609	1.98946	2.05982	2.21176	2.45836	3.06015	3.06359	2.41553	2.30859	2.13842	2.08490	1.99617	2.00144	1.96153	1.85293	1.84318	1.85411
14	1.97528	2.28924	2.11103	2.06435	2.29324	2.34533	2.30546	2.56045	2.91356	3.90740	4.75809	2.95243	2.31848	2.31929	2.16913	2.40597	1.98067	2.02750	1.92305	2.11442	1.82007
15	3.22226	3.32600	3.34853	3.20576	3.28592	3.24909	3.57152	3.61129	4.09532	5.15572	6.37075	4.54703	3.87036	3.83129	3.54521	3.36459	3.47927	3.20967	3.40085	3.26479	3.18172
