State (Emission order)	-250000	-225000	-200000	-175000	-150000	-125000	-100000	-75000	-50000	-25000	0	25000	50000	75000	100000	125000	150000	175000	200000	225000	250000
1	1.23304	1.18605	1.15976	1.14761	1.10076	1.07239	1.06307	1.02452	0.92808	0.89048	0.87768	0.87052	0.91075	0.98113	1.06320	1.13081	1.16760	1.17800	1.23642	1.23418	1.23665
2	0.82018	0.80697	0.78393	0.77591	0.74166	0.70669	0.67353	0.64672	0.62833	0.60473	0.56620	0.57497	0.59758	0.63404	0.67178	0.71141	0.75065	0.79267	0.80287	0.83029	0.86426
3	1.16142	1.16503	1.17215	1.17545	1.18831	1.18812	1.18639	1.17152	1.17207	1.12956	0.99402	1.03475	1.10162	1.14401	1.16844	1.18538	1.19895	1.17120	1.17974	1.18499	1.17012
4	0.51885	0.50830	0.50520	0.49732	0.49160	0.48453	0.47135	0.46347	0.45294	0.44781	0.42496	0.43954	0.44555	0.44518	0.45024	0.45792	0.46765	0.47665	0.47984	0.48870	0.49209
5	1.93002	1.96479	1.96513	2.01378	2.05548	2.08072	2.10498	2.08734	2.06633	2.07278	1.80207	1.98432	2.14170	2.14061	2.12718	2.10249	2.08152	2.04498	2.02465	2.01879	2.00148
6	0.48631	0.48610	0.47077	0.43542	0.42176	0.39099	0.40438	0.40874	0.41319	0.39658	0.36512	0.37639	0.40044	0.43954	0.45686	0.45099	0.46538	0.48128	0.49634	0.48154	0.48479
7	0.87645	0.85167	0.85597	0.78747	0.79203	0.82358	0.74058	0.77442	0.75000	0.60124	0.52817	0.62560	0.65986	0.63820	0.64809	0.73600	0.75088	0.79503	0.80732	0.83936	0.84225
8	0.57181	0.57758	0.58138	0.58122	0.57366	0.57331	0.56718	0.56019	0.55936	0.56124	0.55231	0.55630	0.55906	0.56216	0.56124	0.55355	0.55400	0.55654	0.55582	0.56023	0.56262
9	0.40629	0.39921	0.39184	0.39016	0.38724	0.38088	0.37764	0.37102	0.36330	0.36041	0.35940	0.35531	0.35836	0.35850	0.35405	0.35690	0.35998	0.36543	0.37100	0.38298	0.38536
10	1.21873	1.22938	1.26684	1.19630	1.19583	1.23231	1.19220	1.20613	1.18850	1.13869	1.31375	1.25499	1.12948	1.16659	1.17003	1.15281	1.18510	1.23816	1.18086	1.21645	1.22987
11	2.50319	2.45825	2.51367	2.42941	2.48956	2.51260	2.46624	2.62217	2.77358	2.88143	3.19960	2.87134	2.67978	2.60550	2.60301	2.53446	2.52207	2.53312	2.50488	2.46305	2.43475
12	2.23601	2.32741	2.23354	2.10989	2.02297	2.12102	2.23735	2.39021	2.35927	2.40753	2.37660	3.38416	2.73388	2.55059	2.39746	2.19520	2.16519	2.32590	2.16619	2.14243	2.19283
13	1.94989	1.91693	1.92346	1.96832	1.96363	1.98053	2.13495	2.17410	2.26379	2.40283	1.89943	3.25388	2.65135	2.38185	2.22516	2.09355	1.99018	2.00024	1.95743	1.84620	1.89027
14	2.13306	2.05102	2.18859	2.30954	2.25655	2.38347	2.00701	2.46888	2.38772	2.40417	9.40778	2.00547	2.13898	2.13984	2.04775	2.57486	1.90430	2.11339	2.04995	1.91174	1.93012
15	3.08210	3.41673	3.41085	3.52416	3.37999	3.42586	3.61422	3.69146	4.00852	4.66300	8.75837	4.11769	3.93339	3.78869	3.57541	3.42649	3.48478	3.31452	3.39351	3.39844	3.33586
