State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	3.37876	1.11666	0.78531	0.99223	0.83774	0.87771	0.95927
2	6.70142	0.37604	0.57010	1.00019	0.57597	0.56621	0.62729
3	18.67803	0.72829	1.10088	1.28894	0.97367	0.99405	1.01369
4	16.69416	0.22621	0.46914	0.87681	0.42929	0.42498	0.45558
5	11.06428	2.33105	1.93004	1.29070	1.98060	1.80213	1.85427
6	4.10301	0.19720	0.32136	0.54742	0.39154	0.36513	0.38065
7	1.26126	0.33683	0.55410	0.83757	0.55967	0.52818	0.61053
8	11.75554	0.62565	0.48478	0.41935	0.58716	0.55233	0.55738
9	15.59706	0.27586	0.31316	0.68798	0.37477	0.35941	0.37848
10	1.92777	1.09196	0.92417	1.31726	0.92715	1.31379	1.31621
11	3.01745	4.15453	2.39268	1.40410	2.63667	3.19970	3.17167
12	0.49988	2.67773	2.46430	1.99381	2.39989	2.37668	2.32683
13	3.92896	1.75203	3.67491	2.06283	3.06224	1.89871	1.77338
14	0.53123	9.50072	4.34438	1.61453	4.74566	9.40807	7.40008
15	0.86119	11.30341	4.87364	1.45570	6.37163	8.75864	7.59751
Base	100	0.7148989672	2.5000446102	42.6165825057	0.0009488897	0.0010748012	3.4819703369
