State (Emission order)	H3K4me3	H3K4me2	H3K9ac	H3K27ac	H3K4me1	H3K79me2	H3K36me3	H3K27me3	H3K9me2	H3K9me3
1	0.0	0.0010805048461270924	3.738876247001898E-159	0.0	0.0077920746470446604	1.1391123731489923E-240	1.131868479345823E-79	0.8392058508386183	0.19604271995566044	0.04827649153907129
2	6.512769728821342E-246	9.51995052783075E-4	2.5146E-319	0.0	2.1986579839469852E-4	1.1369773872862116E-307	5.848735668154461E-68	0.833876914374075	0.856558264868545	0.049220738572496384
3	7.175197888935468E-5	0.006491301469913192	1.8630397393926566E-5	0.0	0.01992533142991901	0.005113898569017477	0.022205884007788078	0.015244979770247918	0.8665166726562358	0.11323117758778099
4	5.5222380855185016E-5	0.0024760864696066393	3.0213017720141242E-139	0.0	0.007355652481442981	1.7552180009076332E-4	0.0017125848612431112	0.0013987485708519653	0.985748113970803	0.16049165235090035
5	1.5696822150185153E-35	0.010013471252559681	2.391065194639398E-4	0.0	0.02409955392346536	3.093659282107676E-6	0.005019306490283754	0.01403336164650446	0.0932745428111226	0.06248881840636533
6	1.9153263101267105E-279	1.2310847520792306E-4	3.815297367727278E-198	0.0	0.015986125336814982	1.7690481244278614E-231	0.0050721762216386695	0.002326121621641976	0.815003100436131	0.9818721539836655
7	9.155960775489E-311	1.074262041100648E-48	0.0	0.0	0.002885432088481557	4.16451739924163E-152	0.004878072478623466	0.29717268283161	0.5536186364221908	0.8838699182555614
8	9.066727E-317	6.801771221557904E-5	1.2427666407098237E-160	0.0	0.0020796520386898868	4.1564395440202637E-4	0.0011628842670846596	0.00274851115388195	0.0027075449615621893	0.004810357479236879
9	1.064161877174738E-4	1.3001806408155163E-185	0.0	0.0	1.237188709192796E-4	2.1369021224899107E-204	0.0030161097493890073	1.6700028074849256E-4	0.004529924038846203	0.995519212010228
10	0.0025899636907553572	0.14078202958152727	0.008139507664450762	3.920498329981958E-4	0.6678098580119538	0.03308924851046948	0.03244402833405773	4.660139585690251E-4	0.8633073756188907	0.2055500837860532
11	9.083304660852668E-28	0.3206582368976459	0.002444521780966019	2.389366616941187E-44	0.8579168076918513	0.008266838540796803	0.05271753248966901	0.004356798020163196	0.034262148191486014	0.04492348377032156
12	3.690362604227183E-97	0.2459100457301449	0.017186402852967794	0.0020174316027656396	0.8873428119185663	0.4468559293320889	0.6007399511832738	2.0305196337014267E-215	0.10213208022739477	0.05551623338595516
13	0.005127244883071175	0.010436724950718991	0.006459180190430149	0.0	0.004501972768897666	0.09585634529661598	0.7739113422051347	2.9358374327273634E-99	0.08539047918825278	0.04057084174994263
14	0.8266340152346708	0.9186003550801077	0.5894018143112435	6.195578033740988E-101	0.19154308460510444	0.22040430594450938	0.36438397349011176	1.4503280867644945E-89	0.17770162406754084	0.034713978792594295
15	0.6069196415809633	0.9979275610406481	0.902956096091968	0.11046920030009416	0.9637009437595694	0.15828593414713907	0.2872296994062571	8.700317079671392E-284	0.02193524032018048	0.019257632482592924
