15	10	E	-148816.40065785477	117
probinit	1	6.4452782205209685E-15
probinit	2	3.5148717879699494E-285
probinit	3	3.524543121073197E-65
probinit	4	1.4953112578699218E-230
probinit	5	0.23858251234453032
probinit	6	0.0
probinit	7	4.302488071841845E-172
probinit	8	0.7507744434070854
probinit	9	2.706615533834859E-190
probinit	10	0.01064304424837769
probinit	11	2.093380479650346E-101
probinit	12	2.806792796802777E-184
probinit	13	1.7877833919182931E-112
probinit	14	7.273593075144321E-274
probinit	15	0.0
transitionprobs	1	1	0.8099406396913419
transitionprobs	1	2	0.0446561364781787
transitionprobs	1	3	0.009231671533066406
transitionprobs	1	4	0.0
transitionprobs	1	5	0.08730132363327271
transitionprobs	1	6	0.0
transitionprobs	1	7	0.03310073780642604
transitionprobs	1	8	0.006082199370903242
transitionprobs	1	9	0.0038289409616431664
transitionprobs	1	10	6.632279466172521E-4
transitionprobs	1	11	0.002436746652159231
transitionprobs	1	12	0.0
transitionprobs	1	13	3.6481261455929403E-4
transitionprobs	1	14	9.845279700067236E-4
transitionprobs	1	15	0.0014090353418255946
transitionprobs	2	1	0.019623974977366274
transitionprobs	2	2	0.8717615516477832
transitionprobs	2	3	0.08438041260226024
transitionprobs	2	4	0.0012151890416888128
transitionprobs	2	5	0.005954473539166121
transitionprobs	2	6	0.0028580913530028952
transitionprobs	2	7	0.011241967677902517
transitionprobs	2	8	0.0
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0
transitionprobs	2	11	9.307884932572086E-5
transitionprobs	2	12	0.0
transitionprobs	2	13	0.002871260311504036
transitionprobs	2	14	0.0
transitionprobs	2	15	0.0
transitionprobs	3	1	0.0017565811762800133
transitionprobs	3	2	0.0334540562483823
transitionprobs	3	3	0.8377543745828075
transitionprobs	3	4	0.015582523362875916
transitionprobs	3	5	0.0385066775983788
transitionprobs	3	6	0.007328217910375417
transitionprobs	3	7	0.0
transitionprobs	3	8	6.461407390648335E-4
transitionprobs	3	9	0.0
transitionprobs	3	10	0.027490500105680812
transitionprobs	3	11	0.004047645924589084
transitionprobs	3	12	2.8499779861312756E-4
transitionprobs	3	13	0.0260149210495625
transitionprobs	3	14	0.0066702432045889545
transitionprobs	3	15	4.6312029880083425E-4
transitionprobs	4	1	0.0
transitionprobs	4	2	2.883916553534973E-4
transitionprobs	4	3	0.016841180393471204
transitionprobs	4	4	0.9683441547348123
transitionprobs	4	5	0.0
transitionprobs	4	6	0.003344448759797943
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0
transitionprobs	4	10	0.008248892999033699
transitionprobs	4	11	0.0
transitionprobs	4	12	1.1292798234487408E-4
transitionprobs	4	13	0.0011930709898501624
transitionprobs	4	14	0.0015751006324909564
