File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF104PUB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR494CCN	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K79me2-human	DNA						2017-01-05	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF209VII/, /files/ENCFF539DNR/, /files/ENCFF299RMR/, /files/ENCFF356LFX/, /files/ENCFF345AYN/	1852226	ENCODE Processing Pipeline	3203aa5b4fcd3ed6428827c0029e2d22		https://www.encodeproject.org/files/ENCFF104PUB/@@download/ENCFF104PUB.bed.gz				released	s3://encode-public/2020/11/12/c880bec5-9b7c-4116-989f-8160cb595426/ENCFF104PUB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed run types, moderate library complexity, low read length, mild to moderate bottlenecking, mixed read lengths	insufficient read depth	
ENCFF101KOJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR794ULT	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K4me2-human	DNA						2017-01-19	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF303ELX/, /files/ENCFF152ZDE/, /files/ENCFF539DNR/, /files/ENCFF356LFX/, /files/ENCFF209VII/	1883614	ENCODE Processing Pipeline	0dcba826d6076832468d400d62f2da03		https://www.encodeproject.org/files/ENCFF101KOJ/@@download/ENCFF101KOJ.bed.gz				released	s3://encode-public/2020/11/12/b55c5bd0-c060-4134-85b3-2959a46e0d2d/ENCFF101KOJ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed run types, mixed read lengths		
ENCFF193VYC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR227XNT	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H2AFZ-human	DNA						2017-01-19	ENCODE		shearing (Covaris generic), sonication (generic)	200-600	1, 2	1_2, 2_1							/files/ENCFF659QMU/, /files/ENCFF513BDF/, /files/ENCFF539DNR/, /files/ENCFF356LFX/, /files/ENCFF209VII/	1388696	ENCODE Processing Pipeline	109f6a4b8275b6e9c58c34129e201ea0		https://www.encodeproject.org/files/ENCFF193VYC/@@download/ENCFF193VYC.bed.gz				released	s3://encode-public/2020/11/12/9c65148a-c6b4-4941-b237-6fa97861199d/ENCFF193VYC.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed run types, low read length, mixed read lengths, antibody characterized with exemption, low read depth	poor library complexity, severe bottlenecking	
ENCFF300WHS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR555LYM	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K9me2-human	DNA						2017-01-18	ENCODE		shearing (Covaris generic), sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF209VII/, /files/ENCFF356LFX/, /files/ENCFF320JZQ/, /files/ENCFF539DNR/, /files/ENCFF983DCG/	67520	ENCODE Processing Pipeline	5f8a97bce00c8d1d12bd6e6b353b1fed		https://www.encodeproject.org/files/ENCFF300WHS/@@download/ENCFF300WHS.bed.gz				released	s3://encode-public/2020/11/12/fe0e5188-56eb-44cd-9a87-38b619604c74/ENCFF300WHS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, mixed run types	insufficient read depth	
ENCFF730VTQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR474DOV	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H4K20me1-human	DNA						2017-01-19	ENCODE		shearing (Covaris generic), sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF539DNR/, /files/ENCFF216UAQ/, /files/ENCFF970GXO/, /files/ENCFF356LFX/, /files/ENCFF209VII/	399630	ENCODE Processing Pipeline	c1aedb095e1f5e805e121369113a795e		https://www.encodeproject.org/files/ENCFF730VTQ/@@download/ENCFF730VTQ.bed.gz				released	s3://encode-public/2020/11/12/04f80595-f917-4d09-8603-f4d4afde0183/ENCFF730VTQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, mixed run types	insufficient read depth	
ENCFF105NDA	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR093SHE	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K9ac-human	DNA						2016-12-05	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF539DNR/, /files/ENCFF806JYD/, /files/ENCFF209VII/, /files/ENCFF404BYT/	977866	ENCODE Processing Pipeline	e4b14ca34a89a44938ca138a956dc11f		https://www.encodeproject.org/files/ENCFF105NDA/@@download/ENCFF105NDA.bed.gz				released	s3://encode-public/2020/11/12/cac1b68b-bfb2-4ec6-a720-458d410716c8/ENCFF105NDA.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed read lengths		
ENCFF931YSQ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR161MXP	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K4me1-human	DNA						2017-01-23	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF209VII/, /files/ENCFF356LFX/, /files/ENCFF119RZI/, /files/ENCFF539DNR/, /files/ENCFF485QHQ/	2890624	ENCODE Processing Pipeline	e49b233e354b75645370425a3fcd3683		https://www.encodeproject.org/files/ENCFF931YSQ/@@download/ENCFF931YSQ.bed.gz				released	s3://encode-public/2020/11/13/44b35ce5-c889-4d13-ae26-82482a48e976/ENCFF931YSQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed run types, moderate library complexity, low read length, mild to moderate bottlenecking, mixed read lengths	insufficient read depth	
ENCFF294LZM	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR810BDB	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K27me3-human	DNA						2016-05-20	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF824RFB/, /files/ENCFF209VII/, /files/ENCFF539DNR/, /files/ENCFF318AWP/, /files/ENCFF356LFX/	1982782	ENCODE Processing Pipeline	2b84027c266cf72da9f04f5fc22c40d4		https://www.encodeproject.org/files/ENCFF294LZM/@@download/ENCFF294LZM.bed.gz				released	s3://encode-public/2020/11/12/e20dd9d2-7aed-437f-96e9-1d9ec429654e/ENCFF294LZM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed run types, mixed read lengths	insufficient read depth	
ENCFF137TPC	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR091QXP	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K36me3-human	DNA						2016-12-05	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF539DNR/, /files/ENCFF688WBJ/, /files/ENCFF356LFX/, /files/ENCFF702LON/, /files/ENCFF209VII/	1478471	ENCODE Processing Pipeline	bd076c781f817a09cc00c402c19316ac		https://www.encodeproject.org/files/ENCFF137TPC/@@download/ENCFF137TPC.bed.gz				released	s3://encode-public/2020/11/12/0eea870b-f41d-497e-a058-9d788ab859ad/ENCFF137TPC.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed run types, mixed read lengths	insufficient read depth	
ENCFF832IOO	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR179BUC	Histone ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										H3K9me3-human	DNA						2017-01-23	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF209VII/, /files/ENCFF596UZA/, /files/ENCFF356LFX/, /files/ENCFF369EDG/, /files/ENCFF539DNR/	2064019	ENCODE Processing Pipeline	3c516f9c8606ecfae64f11c121be7ffd		https://www.encodeproject.org/files/ENCFF832IOO/@@download/ENCFF832IOO.bed.gz				released	s3://encode-public/2020/11/12/5473f018-98bf-4b23-bc5e-4044df5f4dd4/ENCFF832IOO.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed run types, moderate library complexity, low read length, mild to moderate bottlenecking, mixed read lengths	insufficient read depth	
