State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.90967	4.66242	4.68597	4.47404	4.07373	3.85003	3.62633	3.36731	3.01409	2.57846	2.11928	2.27234	2.71975	2.93168	3.01409	2.77862	2.89635	2.93168	3.19070	3.34376	3.40263
2	3.62122	3.62498	3.48585	3.42192	3.39560	3.39184	3.42944	3.49713	3.58362	3.70771	3.85060	3.84684	3.61370	3.62874	3.64002	3.74155	3.70395	3.72651	3.62874	3.55730	3.38808
3	2.71147	2.43358	2.41674	2.45885	2.28201	2.02939	2.02097	1.88624	1.91150	1.95360	1.72625	1.65888	1.61678	1.61678	1.60836	1.58309	1.74309	1.84414	2.04623	2.05465	1.97887
4	1.87993	1.65433	1.67313	1.65433	1.74833	1.82353	1.69193	1.57914	1.50394	1.48514	1.57914	1.65433	1.56034	1.44754	1.46634	1.54154	1.65433	1.54154	1.74833	1.72953	1.74833
5	0.74973	0.80840	0.89316	0.80189	0.83448	0.89316	0.85404	0.82796	0.83448	0.78885	0.81492	0.80189	0.79537	0.76277	0.76929	0.84100	0.86056	0.78233	0.84100	0.85404	0.86708
6	1.38043	1.49246	1.43929	1.39752	1.36334	1.36144	1.39752	1.36144	1.36524	1.38043	1.46777	1.62917	1.68613	1.75829	1.72791	1.78677	1.83424	1.88171	1.89500	1.89310	1.89120
7	2.53489	2.45329	2.57297	2.54033	2.76335	2.93742	3.11149	3.39980	3.52491	3.63914	3.91112	3.72618	3.93832	3.82953	3.93832	4.06888	4.00904	3.87849	3.63370	3.68266	3.80777
8	1.66098	1.69523	1.74089	1.84934	1.94638	1.90642	1.86076	1.87218	1.96921	1.87788	1.72948	1.67811	1.63245	1.55824	1.51829	1.50687	1.52400	1.56395	1.52400	1.51829	1.52400
9	0.72540	0.67597	0.65727	0.61185	0.56776	0.55307	0.54238	0.50898	0.48493	0.49696	0.52234	0.53971	0.56910	0.53703	0.55173	0.51833	0.50631	0.50364	0.51967	0.53436	0.57845
10	4.06878	4.08759	3.91355	3.84770	3.73011	3.72540	3.65955	3.65955	3.49962	3.34440	3.11861	2.99161	2.84109	2.76113	2.61531	2.55416	2.52594	2.45538	2.39893	2.35660	2.34249
11	6.18605	6.34147	6.43122	6.54942	6.61947	6.68295	6.72235	6.73111	6.55818	6.35460	6.07223	5.69572	5.33892	5.08062	4.74570	4.46333	4.22254	4.01459	3.80007	3.67311	3.57898
12	0.46000	0.48720	0.49091	0.51564	0.50698	0.51811	0.52059	0.54284	0.52182	0.48967	0.43032	0.38704	0.41177	0.41795	0.43526	0.44145	0.43650	0.42043	0.46247	0.46618	0.47236
13	0.47460	0.46428	0.43333	0.46944	0.49523	0.47975	0.54166	0.47975	0.47975	0.49007	0.50039	0.47975	0.49007	0.50555	0.50039	0.47975	0.41785	0.51071	0.50555	0.51071	0.52618
14	0.83707	0.83457	0.83615	0.83569	0.83652	0.83727	0.83677	0.83690	0.84111	0.84644	0.85265	0.86032	0.86573	0.87153	0.87736	0.88203	0.88686	0.89157	0.89436	0.89711	0.89824
15	0.78269	0.79111	0.78690	0.82061	0.84168	0.81218	0.79322	0.79954	0.81218	0.81956	0.82377	0.81640	0.81113	0.80691	0.81956	0.80059	0.77953	0.76162	0.76478	0.74687	0.74792
