State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.25278	4.83507	5.64611	7.30979	10.69953	15.84654	23.89458	35.40516	47.37324	62.06560	91.20077	104.45821	95.40156	73.68016	46.52061	25.10075	13.57977	7.82969	4.89745	3.41054	2.42273
2	6.05740	7.28615	9.35842	11.87570	14.91769	18.53419	22.20384	25.44176	25.32553	21.97137	14.63873	10.63699	13.00150	17.65414	22.46619	23.88424	21.24409	17.22906	13.42326	10.25840	7.79426
3	6.81947	9.27359	12.94733	15.98151	18.40588	20.02709	21.52187	21.60367	21.45494	21.58880	19.65525	19.39497	19.97503	22.67456	27.30764	34.29816	39.52617	38.88661	30.60954	19.33547	11.08815
4	4.88114	7.40472	10.74182	12.68431	15.24110	15.55655	14.75963	12.33566	10.95765	11.50553	9.77887	8.84913	8.15183	8.33446	9.79548	11.62175	14.61020	15.57315	13.24880	8.41747	5.26299
5	2.35485	2.47576	2.64849	2.76364	3.34515	4.05909	4.94000	4.43334	3.62728	2.73485	1.94606	1.69273	1.37030	1.22636	1.16879	1.04788	1.00758	1.04788	1.03636	1.00182	0.93849
6	2.62102	2.83232	2.97821	3.06876	3.11068	2.96815	2.46842	1.80772	1.49246	1.45724	1.37172	1.34321	1.27446	1.16881	1.23757	1.38681	1.70207	1.95529	2.11795	2.03746	1.93852
7	4.42451	4.83766	5.02501	5.35169	5.36610	5.35169	4.69834	3.14183	1.96965	1.45562	1.29228	1.24424	1.13375	1.15777	1.37395	1.46523	1.76308	2.23868	2.54133	3.09379	3.31958
8	4.81403	4.41580	3.07997	1.98610	1.40136	1.14932	0.97793	0.95272	0.94768	0.97289	0.98297	1.00817	1.05858	1.18965	1.19469	1.35599	2.33896	5.23746	10.85803	15.39986	16.63487
9	1.07480	0.81406	0.60878	0.52619	0.48608	0.46130	0.44715	0.43063	0.41175	0.39169	0.37046	0.37872	0.39759	0.41529	0.44125	0.43535	0.45068	0.59934	0.97334	1.83931	2.83035
10	1.47472	1.12993	0.95130	0.80590	0.73528	0.73113	0.76021	0.76021	0.80175	0.88068	0.91391	0.94714	0.91806	0.90560	0.94714	1.02192	1.09254	1.14654	1.40410	2.29308	3.56010
11	1.10578	1.04972	0.97433	0.88347	0.77714	0.65922	0.55483	0.49490	0.49296	0.49876	0.52196	0.55483	0.58962	0.62249	0.64569	0.66888	0.72301	0.79067	0.86027	0.98399	1.16378
12	0.39423	0.36802	0.36584	0.35819	0.36475	0.39314	0.35819	0.34290	0.32652	0.31451	0.32871	0.31997	0.32543	0.32762	0.33198	0.31342	0.31451	0.31014	0.31451	0.33198	0.29922
13	1.72667	1.86790	2.13669	2.41916	2.32348	2.11391	1.42598	0.87017	0.61504	0.52392	0.44192	0.44192	0.48748	0.55581	0.58315	0.58770	0.60137	0.57859	0.56037	0.57859	0.57859
14	0.80729	0.78153	0.74286	0.69682	0.63835	0.57631	0.52313	0.48917	0.47592	0.47062	0.47117	0.47423	0.48199	0.49340	0.50455	0.51905	0.53660	0.56372	0.59920	0.63239	0.65704
15	0.88473	0.85124	0.81589	0.79728	0.77402	0.75728	0.72937	0.69960	0.69774	0.69216	0.67169	0.65308	0.63448	0.64843	0.66518	0.72193	0.76193	0.81403	0.84101	0.84752	0.88101
