State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	0.29358	88.68529	12.53981	1.88226	2.11958	91.20355	27.42799
2	0.91920	15.33960	3.37285	1.42910	3.85114	14.63585	14.20187
3	0.41048	28.41522	4.17486	1.55958	1.72648	19.65585	20.59386
4	0.18386	14.35697	2.49138	0.97510	1.57936	9.77917	10.94826
5	0.53019	1.13523	0.66711	0.61102	0.81504	1.94612	2.33313
6	1.82036	0.72631	1.22551	1.25156	1.46798	1.37176	2.07345
7	0.63542	0.98253	2.17453	1.37749	3.91167	1.29232	2.88001
8	0.60557	0.44756	1.37527	2.26587	1.72972	0.98300	3.22849
9	2.58738	0.25395	0.62263	2.30161	0.52241	0.37047	0.68493
10	0.73483	0.69142	4.62262	2.31849	3.10964	0.91394	1.06737
11	1.57905	0.85849	7.12267	2.21220	6.07088	0.52198	0.80255
12	2.79528	0.12348	0.42730	0.72988	0.43038	0.32872	0.33880
13	0.67004	0.05057	0.40628	0.55627	0.50046	0.44193	1.13992
14	82.95353	0.47715	0.79488	0.91025	0.85273	0.47119	0.61872
15	3.28124	0.07929	0.78874	1.03359	0.82388	0.67171	0.84449
Base	100	0.7056018206	2.4620524764	41.9690118803	0.0009366741	0.0010607242	3.4353418684
