State (Emission order)	H3K27me3	H3K9me3	H3K36me3	H4K20me1	H3K79me2	H3K27ac	H3K9ac	H3K4me3	H3K4me2	H3K4me1	H2AFZ	H3K9me2
1	0.0	1.7172673374097228E-4	0.020107051561099765	0.01225325193925042	0.5624655084245299	0.9886502257383374	0.9974736254017913	0.999534848701746	0.9966195818391798	1.1201679019094916E-67	0.19882509445887156	0.0
2	1.8321322741362664E-4	0.001961138391381526	0.04363787209112145	0.03664496084529019	0.3369347634174168	1.0	0.9413814147843609	0.9999956814451705	1.0	0.999753949240827	0.2727100055272926	2.532323485791787E-4
3	0.008262769368147963	7.943911110214293E-4	0.019440993564959548	0.01934526984264049	0.3055783157872297	1.0178285323268994E-122	0.7495052010713245	0.9652778141516205	0.9993528277566902	0.8766185838393374	0.2725307925202621	3.224446247917738E-4
4	0.11664242541992943	0.004429739764304284	3.3752541621985966E-4	4.0352238205903964E-4	0.0048399851497963504	0.017531528123001478	0.017559404348389963	0.2262881033816587	0.9419703971351693	0.2665296776794402	0.2984294020589086	2.1125014377926167E-4
5	2.2599067941659407E-194	0.0011945102882818712	6.105537043320353E-4	4.2871260212740607E-5	2.322578578035576E-262	0.16301182419245205	0.0408753819945787	0.13872289295832885	0.7498284242419733	0.9882093450294294	0.9922862514704347	0.00179722730413612
6	0.001030347104740433	0.0015820990974764683	0.0035013415827073106	9.484633384022285E-4	7.899446884393223E-243	2.259344001822713E-85	7.711149394228238E-5	1.8794244832721672E-165	0.37549643675091177	0.9859485613593981	1.890726360579476E-183	5.008786613345268E-4
7	3.5678876459980387E-6	0.005898205730626806	0.07141656615256216	0.007941597769695167	0.17824708397957564	0.8921361428387237	0.5627297654246779	4.1546585243717676E-5	0.8255670270466431	0.9842451121406605	0.07758268776511613	4.499169376806325E-5
8	1.1767810201571302E-4	0.0030886272430113615	0.1783997180858369	0.16642366139053605	0.988608488915106	0.26416743046334434	0.061554254177650015	0.005268554777008285	0.4053189999452062	0.8873042226888938	2.1360219284600953E-264	3.0715472201778564E-4
9	1.2855372746073976E-4	0.00423564016104	3.7322156441473984E-240	0.0786159671745019	0.9397795815597682	2.305785491584763E-99	1.0547529794082778E-283	1.445947127737079E-179	2.5931535101578046E-146	7.827066593951954E-231	2.2079086454660322E-5	4.092811835354547E-4
10	0.0	0.015869605628812202	0.9703655181639412	0.16433557497708595	0.9910438195941637	0.08987837840932077	1.5818058164437213E-79	1.0154725115950482E-5	1.5030008414111036E-58	6.718260960880144E-33	0.0	9.577314292460369E-5
11	0.0	0.02270485833312539	0.8301857037090029	0.015847089667854475	1.0929751490211832E-266	0.05119089800430038	3.964122417996365E-5	1.2224473750882438E-5	1.1320960563988603E-4	0.01132439788088242	4.1359247589452713E-4	9.295778898542758E-5
12	1.1250407739358905E-4	0.9500715841229906	8.734974599516349E-5	0.0	6.552866290148097E-5	4.6422965055636196E-4	4.0839666970002185E-6	2.8499663307283383E-5	6.35867398580143E-73	2.5240057711978985E-4	1.402758195076095E-4	4.4898736105982744E-5
13	3.093987156481499E-105	0.0019421716479821331	0.0013596191636644417	2.1093645454205013E-4	1.5008094973914795E-13	0.0018230604959106425	5.8598740619256585E-34	0.0	8.707664899979597E-28	6.386297583462721E-17	0.9733221165555614	0.0060072885747151335
14	0.0	3.7893033215283E-311	0.0	2.8711462091997354E-161	0.0	2.168638215996196E-197	3.4253470807373476E-88	0.0	0.0	0.0	0.0	5.877627466112574E-4
15	0.952270067729456	2.4781743247598135E-4	5.875673519456091E-6	4.363443479235302E-4	8.719232167360161E-275	0.0	0.0	0.0	0.0	0.0026257212110318505	2.1872817961807132E-4	2.0051697059592568E-4
