15	12	E	-5514212.082796044	152
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	1.0
probinit	15	0.0
transitionprobs	1	1	0.7793402659755069
transitionprobs	1	2	0.18092642551536492
transitionprobs	1	3	0.029327755790279283
transitionprobs	1	4	0.007181477391110298
transitionprobs	1	5	3.326459422577631E-4
transitionprobs	1	6	1.5965109155841053E-4
transitionprobs	1	7	6.275783693585138E-4
transitionprobs	1	8	2.0802305880661173E-4
transitionprobs	1	9	0.0
transitionprobs	1	10	9.941571870046413E-5
transitionprobs	1	11	1.575764714297472E-4
transitionprobs	1	12	0.0
transitionprobs	1	13	0.0
transitionprobs	1	14	0.0016391846756270824
transitionprobs	1	15	0.0
transitionprobs	2	1	0.05804995544655773
transitionprobs	2	2	0.8006908324059034
transitionprobs	2	3	0.043005201148367374
transitionprobs	2	4	0.004385886072401916
transitionprobs	2	5	0.010149375678968132
transitionprobs	2	6	0.009721603688770756
transitionprobs	2	7	0.06123126803018503
transitionprobs	2	8	0.010880492702126623
transitionprobs	2	9	2.714609343874271E-4
transitionprobs	2	10	7.807427326867924E-5
transitionprobs	2	11	1.4935414403736302E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	8.568689697527504E-5
transitionprobs	2	14	0.0013008085780502952
transitionprobs	2	15	0.0
transitionprobs	3	1	0.021065932811283272
transitionprobs	3	2	0.09749772112073918
transitionprobs	3	3	0.6977827560237444
transitionprobs	3	4	0.05259489409342573
transitionprobs	3	5	0.01513829873269787
transitionprobs	3	6	0.05120584772794014
transitionprobs	3	7	0.0014477655184411237
transitionprobs	3	8	0.0419809176152881
transitionprobs	3	9	0.005303741866048845
transitionprobs	3	10	8.247789437307554E-4
transitionprobs	3	11	3.303145177185104E-4
transitionprobs	3	12	0.0
transitionprobs	3	13	4.0506854788037184E-4
transitionprobs	3	14	0.014405014659743759
transitionprobs	3	15	1.694782131786331E-5
transitionprobs	4	1	0.011385194683294993
transitionprobs	4	2	0.019029878118445476
transitionprobs	4	3	0.11257774023304203
transitionprobs	4	4	0.5619377564333279
transitionprobs	4	5	0.0330694488424212
transitionprobs	4	6	0.006521310603542557
transitionprobs	4	7	0.001858269743042558
transitionprobs	4	8	3.284341774967107E-4
transitionprobs	4	9	2.5345586230313E-4
transitionprobs	4	10	3.833126622707962E-5
transitionprobs	4	11	7.348882841015147E-4
transitionprobs	4	12	9.345887843962364E-4
transitionprobs	4	13	0.03138830754420216
transitionprobs	4	14	0.1992115218331501
transitionprobs	4	15	0.020730873591006397
transitionprobs	5	1	2.635889844739208E-4
