State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.7793402659755069	0.18092642551536492	0.029327755790279283	0.007181477391110298	3.326459422577631E-4	1.5965109155841053E-4	6.275783693585138E-4	2.0802305880661173E-4	0.0	9.941571870046413E-5	1.575764714297472E-4	0.0	0.0	0.0016391846756270824	0.0
2	0.05804995544655773	0.8006908324059034	0.043005201148367374	0.004385886072401916	0.010149375678968132	0.009721603688770756	0.06123126803018503	0.010880492702126623	2.714609343874271E-4	7.807427326867924E-5	1.4935414403736302E-4	0.0	8.568689697527504E-5	0.0013008085780502952	0.0
3	0.021065932811283272	0.09749772112073918	0.6977827560237444	0.05259489409342573	0.01513829873269787	0.05120584772794014	0.0014477655184411237	0.0419809176152881	0.005303741866048845	8.247789437307554E-4	3.303145177185104E-4	0.0	4.0506854788037184E-4	0.014405014659743759	1.694782131786331E-5
4	0.011385194683294993	0.019029878118445476	0.11257774023304203	0.5619377564333279	0.0330694488424212	0.006521310603542557	0.001858269743042558	3.284341774967107E-4	2.5345586230313E-4	3.833126622707962E-5	7.348882841015147E-4	9.345887843962364E-4	0.03138830754420216	0.1992115218331501	0.020730873591006397
5	2.635889844739208E-4	0.01723050927519271	0.011124257683883346	0.010849068963700012	0.7594109394118538	0.0806999685306266	0.009724642581985302	0.0	0.0	0.0	0.0	1.2071008185739951E-4	0.057985443529590584	0.05251155298743079	7.931796940532137E-5
6	1.3526871717253786E-5	0.0050610219985453035	0.011517970594930071	9.525782776836968E-4	0.02351252202354639	0.7530198070502068	0.029892556039963714	0.004640975677598613	8.424206621665172E-4	2.4894703167770883E-6	0.001275094467340016	2.9121449618803183E-4	5.83434470019333E-4	0.16771336081859828	6.810270811791058E-4
7	3.3005930590662366E-4	0.08834117304517437	9.008900485647583E-4	5.479913111591036E-4	0.007713122932514614	0.08316338223952795	0.7646152976080302	0.018420471118952682	2.9084609083191175E-4	3.3901125217557237E-4	0.013113415393504349	3.9748569853024563E-4	1.5813931967606775E-4	0.02166871463545137	0.0
8	1.529794657560656E-4	0.015420174300446718	0.02678546477282267	3.4418458230427744E-6	0.0	0.013821275158492168	0.019532723859040237	0.8099207124649582	0.08961443788089146	0.01724932760016173	0.002086358743204077	0.0	0.0	0.0054131039084036785	0.0
9	4.851239400913132E-6	5.769728696312973E-5	8.128102427801076E-4	6.409500132985357E-5	0.0	5.636165211041938E-4	6.554166646120492E-5	0.02081377575057985	0.9114109822345248	0.022895024163037073	0.0020589174144788704	1.3649884997644023E-4	0.0	0.04110506540878147	1.1124220581838813E-5
10	4.280750677974651E-5	1.4287249506213045E-4	4.79570141914559E-4	1.330294031344047E-5	0.0	1.75531144390622E-5	1.355942345909053E-4	0.01422262179187161	0.07911915320694626	0.8564447097021876	0.043755814643813326	0.0	0.0	0.005626000222081382	0.0
11	1.9066268157488748E-5	9.740097062089618E-5	5.011718377064402E-5	6.926286938397238E-5	1.1088827808369658E-5	0.0016203099771776005	0.0052292172445237905	7.850012084663954E-4	0.003277186693108644	0.019497994982012334	0.8742707673187925	9.262699281796079E-4	3.874440379710608E-5	0.0941075721242006	0.0
12	0.0	7.3000718592577296E-6	0.0	5.7617348135539284E-5	1.655534956960409E-5	2.0855264848448636E-4	7.006427584704208E-5	0.0	1.0600192949526342E-4	0.0	5.194925720011216E-4	0.8010953134727241	7.076391420689232E-5	0.19781068263719667	3.765578048004319E-5
13	0.0	1.8507275394596696E-4	3.1278623534868397E-4	0.00988688165247577	0.044042780417263214	0.0015440530168679902	1.5699439538806353E-4	9.553589240107807E-6	0.0	0.0	2.0385773278422148E-4	3.2131789327144385E-4	0.7153450742451654	0.22781363494100526	1.7799312724412904E-4
14	3.831192080199788E-6	1.7412940497974807E-5	6.862220703473259E-5	4.990148867951205E-4	3.3087937221410623E-4	0.003676882278191859	1.624932380941801E-4	3.831297282418497E-5	0.0012709306293391342	5.355788587242067E-5	0.0018336058828493295	0.006911136548840949	0.0018681172838424336	0.9788164808470092	0.004448721834514124
15	0.0	0.0	0.0	0.0012773430720470912	1.5745969994958632E-5	3.967548712713099E-4	0.0	0.0	0.0	0.0	2.127554648764932E-6	2.491656646043441E-5	4.008049391690591E-5	0.11135333287771984	0.8868896985939406
