model_type,id,data_folder,y_preprocessing,y_norm,min_subtraction,y_log_transform,crop,split,shuffle,batch_size,num_workers,n_epochs,lr,gpus,milestones,gamma,loss,pretrained,resume_training,ifile_folder,ifile,k,m,seed,act,inner_act,head_act,out_act,training_norm,relabel_11_to_00,use_node_features,use_edge_weights,transforms,pre_transforms,split_neg_pos_edges_for_feature_augmentation,sparsify_threshold,sparsify_threshold_upper,top_k,hidden_sizes_list,message_passing,head_architecture,head_hidden_sizes_list,Final Validation Loss,AUC
ContactGNNEnergy,1,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,instance,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.1,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['weighted_LDP'],False,,,500,"[16, 2]",GCN,,,0.5580293583869934,particle type 0 = 0.5 particle type 1 = 0.5
ContactGNNEnergy,2,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,instance,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.01,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['weighted_LDP'],False,,,500,"[16, 2]",GCN,,,0.2142619240283966,particle type 0 = 0.966 particle type 1 = 0.973
ContactGNNEnergy,3,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,instance,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.001,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['weighted_LDP'],False,,,500,"[16, 2]",GCN,,,0.2924637472629547,particle type 0 = 0.859 particle type 1 = 0.964
ContactGNNEnergy,4,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,instance,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.1,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,False,False,True,['constant'],,False,,,,"[16, 2]",GCN,,,0.4109885847568512,particle type 0 = 0.96 particle type 1 = 0.771
ContactGNNEnergy,5,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,instance,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.01,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,False,False,True,['constant'],,False,,,,"[16, 2]",GCN,,,0.44512362360954283,particle type 0 = 0.959 particle type 1 = 0.753
ContactGNNEnergy,6,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,instance,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.001,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,False,False,True,['constant'],,False,,,,"[16, 2]",GCN,,,0.6132062411308289,particle type 0 = 0.933 particle type 1 = 0.769
ContactGNNEnergy,7,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.1,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['degree'],False,1.0,,,"[16, 2]",GCN,,,0.11595489859580993,particle type 0 = 0.987 particle type 1 = 0.984
ContactGNNEnergy,8,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.01,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['degree'],False,1.0,,,"[16, 2]",GCN,,,0.13315514653921126,particle type 0 = 0.987 particle type 1 = 0.983
ContactGNNEnergy,9,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.001,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['degree'],False,1.0,,,"[16, 2]",GCN,,,0.27314956068992613,particle type 0 = 0.938 particle type 1 = 0.981
ContactGNNEnergy,10,/../../../project2/depablo/erschultz/dataset_04_18_21,diag,,True,False,,"[0.8, 0.1, 0.1]",True,8,4,20,0.1,1,,0.1,BCE,False,False,,,2,1024,42,relu,,relu,,,True,False,True,['constant'],['weighted_degree'],False,1.0,,,"[16, 2]",GCN,,,0.12439709275960922,particle type 0 = 0.985 particle type 1 = 0.984
