id,dataset,pretrain_id,preprocessing_norm,y_preprocessing,output_preprocesing,mean_filt,rescale,kr,min_subtraction,log_preprocessing,crop,split,shuffle,batch_size,num_workers,n_epochs,lr,weight_decay,w reg,milestones,gamma,loss,k,m,seed,act,inner_act,head_act,out_act,training_norm,use_node_features,use_edge_weights,use_edge_attr,node_transforms,edge_transforms,sparsify_threshold,sparsify_threshold_upper,max_diagonal,encoder_hidden_sizes,edge_encoder_hidden_sizes,input_L_to_D,input_L_to_D_mode,hidden_sizes,message_passing,update_hidden_sizes,head_architecture,head_hidden_sizes,sign_net,output_mode,Time (mins),Final Validation Loss,Regular Loss,Downsampling Loss,Upsampling Loss
434,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym_diag,396.0,0.269,8.818,8.417,
435,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,['Constant(value=1.0)'],"['ContactDistance(norm=False)', 'GeneticDistance(norm=True)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",,energy_sym_diag,233.0,0.299,8.59,10.024,
436,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'GeneticDistance(norm=True)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym_diag,385.0,1.199,23.374,23.374,
437,dataset_04_28_23,,mean,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'GeneticDistance(norm=True)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym_diag,411.0,0.269,16.195,17.047,
438,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False)']","['ContactDistance(norm=False)', 'GeneticDistance(norm=True)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",,energy_sym_diag,231.0,0.305,9.732,9.746,
439,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,1,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'GeneticDistance(norm=True)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym_diag,568.0,0.216,11.161,14.943,
440,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym,503.0,0.391,5.281,5.841,
441,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'MeanContactDistance(norm=False)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym_diag,506.0,0.276,8.942,8.521,
442,dataset_04_28_23,,mean,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False, sign_net=True)']","['ContactDistance(norm=False)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",sign_plus,energy_sym_diag,450.0,0.272,9.133,9.394,
443,dataset_04_28_23,,mean_fill,sweeprand_log_inf,log,,2,False,True,,,"[0.9, 0.1, 0.0]",True,1,4,80,0.0001,0.0,,[40],0.1,mse,8,512,42,leaky,leaky,leaky,leaky,,False,False,True,"['AdjPCs(k=8, normalize=False)']","['ContactDistance(norm=False)', 'MeanContactDistance(norm=False)', 'MeanContactDistance(norm=False, bonded=True)']",,,,,,False,mean_dist,"[8, 8, 8, 8]",weighted_GAT,"[1000, 1000, 64]",bilinear+fc-fill_512,"[1000, 1000, 1000, 1000, 1000, 1000]",,energy_sym_diag,266.0,0.303,9.914,10.335,
