model_type,id,data_folder,toxx,toxx_mode,y_preprocessing,y_norm,x_reshape,ydtype,y_reshape,crop,classes,split,shuffle,batch_size,num_workers,start_epoch,n_epochs,lr,gpus,milestones,gamma,loss,pretrained,resume_training,ifile_folder,ifile,k,n,seed,out_act,training_norm,plot,plot_predictions,kernel_w_list,hidden_sizes_list,dilation_list
DeepC,7,/../../../project2/depablo/erschultz/dataset_04_18_21,FALSE,mean,diag,,TRUE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.01,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,,,TRUE,TRUE,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,8,/../../../project2/depablo/erschultz/dataset_04_18_21,FALSE,mean,diag,,TRUE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.001,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,,,TRUE,TRUE,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,9,/../../../project2/depablo/erschultz/dataset_04_18_21,FALSE,mean,diag,,TRUE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.0001,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,,,TRUE,TRUE,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,10,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,11,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,12,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,13,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,14,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,15,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,16,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,batch,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,17,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,batch,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
DeepC,18,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,batch,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]"
