model_type,id,data_folder,toxx,toxx_mode,y_preprocessing,y_norm,x_reshape,ydtype,y_reshape,crop,classes,split,shuffle,batch_size,num_workers,start_epoch,n_epochs,lr,gpus,milestones,gamma,loss,pretrained,resume_training,ifile_folder,ifile,k,n,seed,out_act,training_norm,plot,plot_predictions,kernel_w_list,hidden_sizes_list,dilation_list,Final Validation Loss,PCA Accuracy Mean,PCA Accuracy Std,PCA Spearman Mean,PCA Spearman Std,PCA Pearson Mean,PCA Pearson Std,Overall Pearson Mean,Overall Pearson Std
DeepC,7,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.15837577198232924,0.707,0.065,0.635,0.106,0.731,0.09,0.511,0.118
DeepC,11,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.05039407153214727,0.601,0.06,0.979,0.009,0.983,0.009,0.611,0.097
DeepC,14,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.03550430866224425,0.895,0.044,0.863,0.167,0.701,0.112,0.507,0.121
DeepC,17,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,batch,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.1452640848500388,0.604,0.048,0.501,0.164,0.517,0.196,0.32,0.103
DeepC,13,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.03560816815921238,0.864,0.051,0.881,0.138,0.737,0.131,0.485,0.112
DeepC,16,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,batch,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.053418918911899836,0.842,0.099,0.585,0.291,0.533,0.265,0.314,0.109
DeepC,9,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.03775922102587564,0.855,0.089,0.969,0.01,0.975,0.012,0.807,0.135
DeepC,12,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.05085944224681173,0.6,0.065,0.972,0.01,0.979,0.011,0.607,0.117
DeepC,15,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.13697823882102966,0.624,0.064,0.739,0.131,0.708,0.181,0.408,0.125
DeepC,10,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,instance,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.04039842528956277,0.902,0.046,0.709,0.264,0.547,0.167,0.443,0.1
DeepC,8,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,,,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.03212907910346985,0.91,0.032,0.97,0.01,0.978,0.011,0.821,0.118
DeepC,18,/../../../project2/depablo/erschultz/dataset_04_18_21,False,mean,diag,batch,True,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,20,0.0001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,"[5, 5, 5]","[32, 64, 128]","[2, 4, 8, 16, 32, 64, 128, 256, 512]",0.16320880608899252,0.611,0.056,0.438,0.199,0.483,0.237,0.274,0.106
