model_type,id,dataset,preprocessing_norm,y_preprocessing,min_subtraction,log_preprocessing,crop,split,shuffle,batch_size,num_workers,n_epochs,lr,milestones,gamma,loss,k,m,seed,act,inner_act,head_act,out_act,training_norm,y_zero_diag_count,hidden_sizes_list,output_mode,Final Validation Loss
MLP,79,dataset_09_30_22,mean,,True,,,"[0.8, 0.2, 0]",True,32,8,70,0.0001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.3623970076441765
MLP,80,dataset_09_30_22,mean,,True,,,"[0.9, 0.1, 0.0]",True,32,8,70,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.4729072526097298
MLP,81,dataset_09_30_22,mean,,True,,,"[0.9, 0.1, 0.0]",True,32,8,70,0.0001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.5196454301476479
MLP,82,dataset_09_30_22,mean,,True,,,"[0.45, 0.1, 0.45]",True,32,8,70,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.4812410175800323
MLP,83,dataset_09_30_22,mean,,True,,,"[0.45, 0.1, 0.45]",True,32,8,70,0.0001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.7084674835205078
MLP,84,dataset_09_30_22,mean,,True,ln,,"[0.9, 0.1, 0.0]",True,32,8,100,0.0001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,6.98657351732254
MLP,85,dataset_09_30_22,mean,,True,ln,,"[0.9, 0.1, 0.0]",True,32,8,100,1e-05,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,7.632771730422974
MLP,86,dataset_09_30_22,mean,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,100,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.4924105554819107
MLP,87,dataset_09_30_22,mean,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,100,0.0001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,1.4863139912486076
MLP,88,dataset_09_30_22,mean,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,100,1e-05,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,2.018608883023262
MLP,89,dataset_09_30_22,,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,100,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,2366835.21875
MLP,90,dataset_09_30_22,,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,40,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[2000, 2000, 2000, 2000, 2000, 2000, 1024]",diag_chi_continuous,7.774179548025131
MLP,91,dataset_09_30_22,mean,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,100,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[1000, 1000, 1000, 1000, 1000, 1000, 1024]",diag_chi_continuous,1.480769321322441
MLP,92,dataset_09_30_22,mean,log,True,,,"[0.9, 0.1, 0.0]",True,32,8,100,0.001,[50],0.1,mse,,1024,42,prelu,,relu,prelu,,0,"[100, 100, 100, 100, 100, 100, 1024]",diag_chi_continuous,1.6122271418571472
MLP,93,dataset_09_30_22,mean,log,True,,"[0, 512]","[0.9, 0.1, 0.0]",True,32,8,100,0.001,[50],0.1,mse,,512,42,prelu,,relu,prelu,,0,"[1000, 1000, 1000, 1000, 1000, 1000, 1024]",diag_chi_continuous,3.02166385948658
