model_type,id,data_folder,toxx,toxx_mode,y_preprocessing,y_norm,x_reshape,ydtype,y_reshape,crop,classes,split,shuffle,batch_size,num_workers,start_epoch,n_epochs,lr,gpus,milestones,gamma,loss,pretrained,resume_training,ifile_folder,ifile,k,n,seed,out_act,training_norm,plot,plot_predictions,nf
UNet,1,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,instance,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.1,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,FALSE,8
UNet,2,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,instance,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.01,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,FALSE,8
UNet,3,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,instance,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.001,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,FALSE,8
UNet,4,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,batch,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.1,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,FALSE,8
UNet,5,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,batch,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.01,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,FALSE,8
UNet,6,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,batch,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,32,4,1,20,0.001,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,FALSE,8
UNet,13,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,prcnt,,FALSE,torch.int64,FALSE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.1,1,,0.1,cross_entropy,FALSE,FALSE,,,2,1024,42,,batch,TRUE,FALSE,8
UNet,14,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,prcnt,,FALSE,torch.int64,FALSE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.01,1,,0.1,cross_entropy,FALSE,FALSE,,,2,1024,42,,batch,TRUE,FALSE,8
UNet,15,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,prcnt,,FALSE,torch.int64,FALSE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.001,1,,0.1,cross_entropy,FALSE,FALSE,,,2,1024,42,,batch,TRUE,FALSE,8
UNet,22,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.1,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,,batch,TRUE,TRUE,8
UNet,23,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.01,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,,batch,TRUE,TRUE,8
UNet,24,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,diag,,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.001,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,,batch,TRUE,TRUE,8
UNet,25,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,prcnt,instance,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.1,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,TRUE,8
UNet,26,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,prcnt,instance,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.01,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,TRUE,8
UNet,27,/../../../project2/depablo/erschultz/dataset_04_18_21,TRUE,mean,prcnt,instance,FALSE,torch.float32,TRUE,,10,"[0.8, 0.1, 0.1]",TRUE,16,4,1,20,0.001,1,,0.1,mse,FALSE,FALSE,,,2,1024,42,sigmoid,batch,TRUE,TRUE,8
UNet,28,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8
UNet,29,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8
UNet,30,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8
UNet,31,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8
UNet,32,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,batch,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8
