model_type,id,data_folder,toxx,toxx_mode,y_preprocessing,y_norm,x_reshape,ydtype,y_reshape,crop,classes,split,shuffle,batch_size,num_workers,start_epoch,n_epochs,lr,gpus,milestones,gamma,loss,pretrained,resume_training,ifile_folder,ifile,k,n,seed,out_act,training_norm,plot,plot_predictions,nf,Final Validation Loss,PCA Accuracy Mean,PCA Accuracy Std,PCA Spearman Mean,PCA Spearman Std,PCA Pearson Mean,PCA Pearson Std,Overall Pearson Mean,Overall Pearson Std
UNet,34,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.1,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.026153197368750207,0.938,0.032,0.953,0.025,0.975,0.01,0.805,0.107
UNet,37,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.025177193232453786,0.946,0.025,0.96,0.022,0.98,0.009,0.811,0.109
UNet,24,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,,batch,True,True,8,0.030979690786737662,0.941,0.028,0.965,0.011,0.969,0.012,0.816,0.114
UNet,27,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.025028530078438613,0.945,0.026,0.958,0.023,0.98,0.009,0.811,0.109
UNet,6,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,batch,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.0014075395218761905,0.934,0.03,0.96,0.011,0.963,0.013,0.801,0.114
UNet,3,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.005548860345567975,0.927,0.032,0.969,0.012,0.978,0.008,0.809,0.119
UNet,14,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,,False,torch.int64,False,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.01,1,,0.1,cross_entropy,False,False,,,2,1024,42,,batch,True,True,8,1.566526275414687,0.945,0.029,0.95,0.035,0.973,0.012,0.785,0.118
UNet,33,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.027065004437015608,0.9,0.038,0.935,0.038,0.964,0.011,0.795,0.11
UNet,5,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,batch,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.0014321643227179135,0.919,0.034,0.951,0.015,0.956,0.013,0.803,0.115
UNet,2,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.005318136353577886,0.924,0.034,0.964,0.017,0.975,0.012,0.811,0.12
UNet,36,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,batch,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.002772257763094136,0.888,0.038,0.819,0.049,0.891,0.02,0.75,0.112
UNet,31,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.00657643205844439,0.906,0.039,0.898,0.051,0.921,0.019,0.763,0.114
UNet,39,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag_instance,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.006647641837064709,0.912,0.043,0.807,0.063,0.855,0.034,0.706,0.115
UNet,23,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,,batch,True,True,8,0.03897007210896565,0.935,0.028,0.963,0.011,0.967,0.014,0.813,0.115
UNet,4,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,batch,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.1,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.002386056784806507,0.901,0.039,0.885,0.046,0.929,0.016,0.772,0.115
UNet,1,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.1,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.00640107538285,0.909,0.036,0.942,0.017,0.952,0.012,0.792,0.116
UNet,26,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.024883266968222763,0.948,0.027,0.962,0.018,0.982,0.008,0.811,0.109
UNet,29,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.00550399674102664,0.927,0.034,0.968,0.012,0.978,0.01,0.819,0.121
UNet,13,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,,False,torch.int64,False,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.1,1,,0.1,cross_entropy,False,False,,,2,1024,42,,batch,True,True,8,1.6408598606403058,0.94,0.03,0.926,0.065,0.966,0.012,0.776,0.115
UNet,32,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,batch,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.002147714696967831,0.88,0.039,0.819,0.055,0.896,0.016,0.755,0.113
UNet,35,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.01,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.024800598334807616,0.947,0.027,0.96,0.019,0.98,0.01,0.81,0.109
UNet,30,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.001,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.005643856425124865,0.934,0.029,0.97,0.011,0.979,0.009,0.815,0.124
UNet,38,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,32,4,1,15,0.1,1,"[5, 10]",0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.007820154074579477,0.844,0.062,0.813,0.054,0.863,0.023,0.707,0.126
UNet,22,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.1,1,,0.1,mse,False,False,,,2,1024,42,,batch,True,True,8,0.03897275661046688,0.927,0.033,0.955,0.015,0.96,0.015,0.799,0.114
UNet,25,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.1,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.025896883068176415,0.947,0.028,0.953,0.026,0.978,0.009,0.808,0.11
UNet,28,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,diag,instance,False,torch.float32,True,,10,"[0.8, 0.1, 0.1]",True,16,4,1,15,0.1,1,,0.1,mse,False,False,,,2,1024,42,sigmoid,batch,True,True,8,0.0059977628004092435,0.915,0.035,0.943,0.024,0.957,0.013,0.797,0.122
UNet,15,/../../../project2/depablo/erschultz/dataset_04_18_21,True,mean,prcnt,,False,torch.int64,False,,10,"[0.8, 0.1, 0.1]",True,16,4,1,20,0.001,1,,0.1,cross_entropy,False,False,,,2,1024,42,,batch,True,True,8,1.5657658210167518,0.944,0.032,0.947,0.036,0.971,0.014,0.785,0.118
